,Latitude,Longitude,Business Name,Rating,Business Types,Address
0,33.6725307,-117.8438666,Park Place Barber Shop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","3333 Michelson Dr # 110, Irvine"
1,33.6850424,-117.8104946,Floyd's 99 Barbershop,3.9,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3972 Barranca Pkwy H, Irvine"
2,33.6806996,-117.8037824,Stonecreek Plaza Barber Shop (inside H&R Block courtyard),4.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy #105, Irvine"
3,33.6976351,-117.8275868,Black Steel Barbershop,4.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2493 Park Ave #28, Tustin"
4,33.6710241,-117.7880469,Roosters Men's Grooming Center,4.4,"['hair_care', 'health', 'point_of_interest', 'establishment']","5405 Alton Pkwy, Irvine"
5,33.6869575,-117.8583723,Creations Salon & Barbershop,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","17779 Main St, Irvine"
6,33.6623501,-117.8727445,The beautician & the barber,3.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","3723 Birch St #5, Newport Beach"
7,33.658796,-117.871888,PRESS Men's Hair,4.7,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']","0789, 2300 SE Bristol St, Newport Beach"
8,33.699564,-117.869135,South Coast Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","118 W MacArthur Blvd, Santa Ana"
9,33.6584767,-117.8854288,True Blue Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","2675 Irvine Ave, Costa Mesa"
10,33.7333396,-117.8276905,JB's Barber Shop,2.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","14435 Newport Ave, Tustin"
11,33.723578,-117.8676244,Prime Time Barber Shop,3.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","1911 S Main St, Santa Ana"
12,33.7346001,-117.8127336,Woori Barber Shop,,"['hair_care', 'health', 'point_of_interest', 'establishment']","13846 Red Hill Ave, Tustin"
13,33.6556174,-117.9037234,Aces And Eights Barbershop,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2346, ste b2, Newport Blvd, Costa Mesa"
14,33.7283927,-117.8680348,Ringside Barber Shop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","1414 S Main St A, Santa Ana"
15,33.7168672,-117.8858781,Faded Barber Shop Santa Ana,4.5,"['hair_care', 'health', 'point_of_interest', 'establishment']","2222 S Bristol St, Santa Ana"
16,33.611603,-117.871701,Newport Beach Barber Shop,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","1367 Avocado Ave, Newport Beach"
17,33.7405211,-117.8194388,Justin's Barber Shop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","13762 Newport Ave b, Tustin"
18,33.7453127,-117.8197516,Louie's Barber Shop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","414 E First St, Tustin"
19,33.745364,-117.817072,i Barber Shop,4.2,"['hair_care', 'health', 'point_of_interest', 'establishment']","622 E First St, Tustin"
