work_zip,home_zip,gender_scale,age,race_scale,Income_scale,days_last_haircut,days_last_haircut_scale,days_time_haircut,days_time_haircut_scale,products_scale,midpoint_spend,spend_scale,midpoint_would_spend,would_spend_scale,find_current_barber_scale,reviews_scale,price,convenient,atmosphere,amenities
92614,92614,1,38,1,1,14,1,14,3,0,45,5,65,7,1,1,4,4,4,1
92660,92677,1,34,2,5,21,6,30,9,0,15,5,65,6,2,2,5,3,3,1
92612,92602,0,35,2,4,90,8,90,9,1,45,5,45,8,1,2,5,5,4,4
92620,92780,1,35,1,4,30,1,30,3,1,45,5,45,5,1,3,3,5,4,4
97205,97205,1,38,2,4,30,1,30,6,0,35,5,35,7,3,3,4,2,3,2
92627,92697,1,33,2,3,21,1,30,4,1,35,5,35,6,2,1,4,3,5,2
92867,92602,1,24,1,3,7,5,42,4,0,25,5,35,8,2,2,2,2,5,5
92782,92782,1,54,2,8,7,2,60,5,0,25,5,25,6,2,2,3,4,3,2
94404,94115,1,38,1,7,7,4,30,8,1,25,5,25,5,2,2,4,2,3,3
92660,92661,1,48,2,6,21,7,21,9,0,25,5,25,7,5,2,3,5,2,1
92660,92627,1,32,2,6,14,4,30,4,1,25,5,15,7,2,2,1,4,2,2
90041,91730,1,37,1,6,7,2,49,2,1,15,5,15,6,2,2,3,4,2,2
92612,92620,1,35,1,5,7,1,7,3,0,0,4,15,5,2,3,4,3,4,4
90505,90703,1,31,1,5,21,1,42,3,0,10,4,0,4,1,2,4,4,5,2
92618,92620,1,38,1,8,30,1,60,3,0,45,4,55,7,2,2,4,5,3,3
92122,92037,1,32,2,7,21,3,21,6,0,25,4,55,7,5,3,2,3,2,1
94080,94080,1,35,1,6,21,4,42,4,0,35,4,45,4,1,3,3,5,1,3
92697,92656,1,36,2,6,14,3,14,4,0,25,4,35,4,5,2,4,4,3,1
92660,92618,1,32,1,0,14,2,14,6,1,15,4,25,5,1,2,3,4,4,4
94710,94107,1,41,2,0,60,3,90,6,0,15,4,25,7,3,1,4,4,2,1
91324,91770,1,22,1,1,14,3,35,4,1,45,3,65,3,2,2,5,5,4,3
92870,91776,1,22,1,1,7,2,21,4,1,35,3,45,3,2,3,5,5,4,3
91403,91733,1,21,1,1,7,2,14,3,0,25,3,35,3,2,3,1,5,3,5
92740,92647,1,33,2,5,60,3,60,8,1,25,3,25,3,5,2,4,5,4,4
92618,92618,0,33,3,5,7,7,7,8,0,5,3,25,8,2,3,2,3,3,3
92606,92701,1,28,2,5,42,1,42,4,0,15,3,15,3,5,3,4,5,2,1
92656,92602,1,24,1,5,7,1,14,4,1,10,3,10,6,1,2,4,5,5,1
90620,92780,1,32,4,5,7,7,14,3,0,25,3,25,6,2,1,3,5,4,3
94720,94609,1,38,1,4,30,4,30,6,0,15,3,25,4,2,2,3,4,4,3
91367,91344,1,26,1,4,7,4,14,8,0,10,3,10,3,2,2,3,4,4,3
92660,92626,1,28,2,3,7,3,30,6,0,45,3,65,4,1,2,4,4,3,1
92606,92691,1,26,2,3,21,4,42,6,0,25,3,35,3,2,2,2,3,3,4
92887,92887,1,27,1,3,7,3,7,4,0,0,3,35,3,5,1,4,4,1,1
92801,92805,1,21,4,2,30,1,42,2,0,25,3,25,3,2,2,5,1,1,1
92821,92630,1,37,1,8,21,1,30,2,0,25,3,25,4,1,2,4,5,4,1
92506,92887,1,40,1,8,14,5,60,8,0,15,3,15,3,5,2,3,5,3,3
92656,92629,1,37,2,7,60,3,30,3,0,45,3,200,5,1,2,3,5,3,2
98065,98065,1,31,4,7,7,2,21,2,0,45,3,55,4,1,1,3,1,3,2
92649,92663,1,31,2,6,30,1,90,6,0,10,3,55,4,5,2,2,5,1,1
92660,92618,1,35,2,6,7,1,42,8,0,45,3,45,3,5,2,5,5,3,1
92660,92626,1,31,1,6,30,1,42,4,0,25,3,35,3,5,2,4,5,3,2
91910,92104,1,31,2,6,30,3,60,3,0,25,3,25,3,1,3,3,3,3,1
92821,92879,1,39,5,6,14,2,14,4,0,15,3,25,2,1,1,5,3,3,1
92108,92123,1,33,1,0,21,2,28,2,1,15,3,25,3,2,2,4,5,3,4
92660,92627,1,46,1,0,7,4,14,4,0,15,3,25,3,5,2,2,5,1,1
92606,92604,1,36,1,1,30,2,42,2,0,15,2,25,4,2,2,4,4,3,2
93117,95127,1,32,1,1,30,2,30,2,0,15,2,15,3,2,2,5,5,3,3
92126,92126,1,32,2,1,14,3,21,6,0,15,2,15,2,2,3,4,1,3,1
92614,92663,1,28,2,5,7,1,14,6,0,10,2,15,2,5,2,5,5,5,4
92660,92782,1,23,2,5,365,5,90,9,0,45,2,200,2,5,2,4,4,3,1
92656,92630,1,22,1,5,42,1,90,3,1,45,2,65,2,2,2,4,5,2,1
92612,92782,1,38,1,5,7,1,30,3,1,25,2,65,3,2,2,4,4,2,1
92618,90808,1,30,2,5,90,1,21,3,0,25,2,65,2,1,2,4,5,4,2
90810,91748,1,35,1,4,7,2,21,2,0,35,2,55,3,5,2,4,4,3,1
91910,91912,1,33,4,4,7,4,21,4,0,35,2,35,2,1,3,5,4,1,3
92821,91766,1,26,2,4,90,3,90,4,0,10,2,35,3,2,2,4,4,1,2
92618,92614,1,24,1,4,21,2,14,3,0,0,2,35,2,2,2,5,4,3,3
91010,91106,1,39,1,4,21,1,60,2,0,25,2,25,3,2,2,4,5,4,4
98052,8125,1,23,2,4,7,4,30,6,0,25,2,25,3,1,3,4,4,1,1
92618,92683,1,28,1,3,7,2,21,8,0,15,2,25,2,1,3,5,5,2,1
92121,92009,1,30,1,2,7,4,42,4,1,15,2,15,3,1,1,4,5,4,1
93003,93021,1,45,2,8,60,6,90,6,0,15,2,15,2,5,3,5,5,2,1
94301,94568,1,39,1,7,7,2,21,2,0,15,2,15,3,5,2,5,5,4,2
90745,90706,1,28,2,7,7,5,21,9,0,15,2,15,3,1,3,3,4,2,1
92832,92832,1,35,1,6,21,3,21,4,0,0,2,15,6,5,2,3,1,1,2
92822,92612,1,39,1,6,90,1,60,7,0,25,2,100,2,5,2,3,4,3,1
95054,94541,1,30,1,0,7,1,21,3,0,45,2,45,2,2,1,5,2,2,2
92131,92123,1,35,1,3,14,1,14,1,0,15,0,35,4,0,2,5,5,3,3
92843,92843,1,23,1,1,21,2,30,9,0,25,1,25,1,5,2,5,4,4,3
92708,92703,1,23,1,1,14,2,30,2,0,25,1,25,2,0,2,4,4,3,2
94024,94040,1,33,1,5,14,7,21,9,0,25,1,25,4,2,2,5,5,5,3
92675,90803,0,37,2,4,14,4,14,9,0,15,1,25,5,0,3,2,1,2,1
92806,92806,1,30,2,4,21,1,42,2,0,15,1,15,2,5,2,4,5,4,3
91746,92880,1,35,1,2,14,1,14,2,0,10,1,15,1,2,2,5,5,5,5
20815,20816,1,32,1,8,14,1,90,2,0,10,1,10,1,0,3,5,5,1,1
92612,90807,1,32,1,7,14,3,42,6,0,35,1,55,0,0,1,5,1,1,1
92647,92647,1,32,1,0,21,2,42,3,0,35,1,45,2,2,2,4,4,4,1
90025,90025,1,32,2,8,14,1,14,1,0,25,1,25,3,0,0,4,4,3,2
92618,92627,1,30,2,5,30,3,30,3,0,25,0,25,2,0,2,4,4,2,1
94105,94546,1,34,1,5,7,3,21,2,0,15,0,15,4,2,3,3,2,4,4
10019,10028,1,32,1,6,14,1,21,1,0,10,0,15,2,0,2,5,5,5,2
